,ISO,Year,Risk.ext.debt.distress,Debt.Indicator,Inflation,Cur.acc.bal,Gen.gov.len.bor,Vol.Exp.Goods,GDP,GDP.per.cap,Gen.gov.rev,US.int.rates,Ext.Debt.Serv,Real.GDP.growth,Exch.Rate,Control.of.Corruption,Government.Effectiveness,Pol.Stability.Absence.of.Violence,Regulatory.Quality,Rule.of.Law,Voice.and.Accountability
6232,TZA,2009,Low,0,12.144,-7.516,-4.418,-2.23,28.985,693.025,15.466,2.468828892,164005256.8,5.269105248,1320.312061,-0.4454531,4.4007113,0.0891499,-0.4425703,2.0196635,-0.1603087
6233,TGO,2009,In debt distress,1,4.067,-5.249,-3.669,17.004,3.376,540.022,16.297,2.468828892,53834765.7,5.537910972,470.2934233,-1.018094,3.622116,-0.1650247,-0.8632654,1.6176205,-0.9785588
6234,UGA,2009,Low,0,13.017,-4.348,-1.61,6.07,24.107,815.808,10.147,2.468828892,71828186.1,6.801517348,2030.488074,-0.901867,4.3762278,-0.9924353,-0.175511,2.0856098,-0.5091616
6235,ZMB,2009,Low,0,13.392,5.954,-2.057,19.198,15.328,1134.76,15.75,2.468828892,170407260.6,9.220348406,5.045,-0.4610739,4.1923227,0.5683178,-0.5274447,2.0244628,-0.3003243
6236,BEN,2010,Moderate,0,2.179,-5.567,-0.276,25.849,9.543,1037.38,13.8,2.060736714,43826230.2,2.114064726,494.7942622,-0.6608168,4.4053114,0.2612601,-0.3335557,1.8268266,0.314489
6237,BFA,2010,High,1,-0.608,-1.797,-4.058,54.547,10.118,648.365,17.597,2.060736714,49385166.3,8.446281577,494.7942622,-0.3506111,4.4311536,-0.1176371,-0.156401,2.3055097,-0.2529503
6238,BDI,2010,High,1,6.496,-12.238,-3.637,16.901,2.032,231.549,37.207,2.060736714,4374807.6,5.124163303,1230.748333,-1.165457,3.899055,-1.625959,-1.115116,1.304535,-0.9426936
6239,CMR,2010,Low,0,1.279,-3.273,-0.98,-10.334,26.191,1282.37,14.983,2.060736714,203133827.3,3.422507641,494.7942622,-1.061047,4.1099281,-0.7369714,-0.7441876,1.42876,-1.058277
6240,CAF,2010,Moderate,0,1.491,-9.418,-1.347,9.368,2.141,492.078,15.912,2.060736714,3358435.9,4.630818432,494.7942622,-0.9296519,3.612257,-2.020625,-1.159351,1.205724,-1.104218
6241,TCD,2010,Moderate,0,-2.11,-8.516,-4.152,-5.488,10.701,895.354,20.203,2.060736714,73142727.8,13.55010086,494.7942622,-1.381054,3.533698,-1.524828,-1.068313,0.996676,-1.360329
6242,COM,2010,In debt distress,1,3.899,-0.255,4.204,14.004,0.909,1322.64,17.471,2.060736714,4298754.2,3.799933455,371.0956967,-0.8069158,3.256937,-0.5629393,-1.423614,1.453614,-0.4222873
6243,COD,2010,High,1,23.461,-10.078,-1.001,31.683,21.566,288.015,14.919,2.060736714,274408365.1,7.107976576,905.9134583,-1.437921,3.264356,-2.196742,-1.586182,0.87926,-1.409103
6244,COG,2010,Moderate,0,0.391,6.854,15.517,7.646,13.159,3597.96,38.514,2.060736714,141442239.4,9.931265431,494.7942622,-1.146635,3.772267,-0.3164158,-1.27373,1.280424,-1.062742
6245,CIV,2010,In debt distress,1,1.366,1.35,-1.337,-7.723,34.431,1650.96,13.129,2.060736714,751408112.1,2.017638592,494.7942622,-1.157896,3.714357,-1.583894,-0.9260469,1.28275,-1.048398
6246,ETH,2010,Low,0,8.134,-1.582,-1.321,15.739,26.887,324.285,17.162,2.060736714,179341010.1,12.55053835,14.40958981,-0.6906257,4.5677699,-1.635101,-0.8702891,1.6983495,-1.344843
6247,GMB,2010,High,1,5.049,-10.049,-2.928,0.299,1.543,860.639,11.627,2.060736714,24103893.2,5.90833581,28.01195366,-0.5945483,4.3211861,0.065417,-0.3987791,1.9445909,-1.075465
6248,GHA,2010,Moderate,0,6.698,-6.435,-7.52,13.565,43.043,1745.56,12.491,2.060736714,319127886.9,7.899711889,1.429983333,0.0115234,4.9621143,0.0260932,0.1159474,2.4719304,0.51473
6249,GIN,2010,In debt distress,1,15.466,-6.397,-9.661,-9.896,6.858,630.549,10.849,2.060736714,105834207.1,4.820715414,5726.071021,-1.201466,3.891019,-1.687079,-1.090813,1.020821,-0.9179657
6250,GNB,2010,In debt distress,1,1.071,-7.529,-0.225,-7.451,0.941,644.344,18.324,2.060736714,22364517.9,4.6109709,494.7942622,-1.155414,3.970494,-0.6909543,-1.138213,1.168556,-0.8229927
6251,LBR,2010,Low,0,7.291,-19.76,1.144,7.993,1.998,550.36,25.798,2.060736714,6142707.2,6.099827602,71.40333333,-0.561761,3.722915,-0.4685253,-1.056976,1.5388887,-0.2113896
6252,MDG,2010,Low,0,9.247,-9.183,-0.76,-7.85,9.983,471.959,11.52,2.060736714,61959675.5,0.619229746,2089.95,-0.4286864,4.0403635,-0.9783388,-0.5662374,1.6253672,-0.8454349
6253,MWI,2010,Moderate,0,7.409,-8.584,1.831,40.949,6.957,442.765,31.817,2.060736714,20918516.2,6.874065635,150.4858333,-0.4871768,4.5893192,0.0438958,-0.5748214,2.3744302,-0.1909863
6254,MLI,2010,Moderate,0,1.289,-10.719,-2.568,-1.013,10.698,732.402,17.694,2.060736714,61563780.7,5.313935279,494.7942622,-0.6779031,4.1356637,-0.1828992,-0.4931963,2.0500773,0.1581073
6255,MOZ,2010,Low,0,12.426,-14.708,-3.503,-17.73,11.418,469.47,23.893,2.060736714,671275481.7,6.502353115,33.9600988,-0.4467431,4.4174189,0.3944219,-0.3978509,2.0281494,-0.120655
6256,NER,2010,Low,0,0.944,-14.471,-0.983,19.73,7.858,477.257,13.276,2.060736714,25669208.9,8.578166743,494.7942622,-0.661096,4.3407218,-1.160745,-0.5173832,2.0175289,-0.6669648
6257,RWA,2010,Moderate,0,2.306,-6.941,-0.636,11.592,6.148,614.796,23.103,2.060736714,51950487.4,7.334656108,583.1309066,0.3536429,4.9457071,-0.2720939,-0.1971854,2.1692438,-1.327148
6258,STP,2010,High,1,13.339,-22.794,-11.711,6.723,0.197,1128.31,38.236,2.060736714,1651307.7,6.671984262,18.49860132,-0.2529863,4.2058474,0.1154429,-0.844986,1.8365356,0.1237374
6259,SEN,2010,Low,0,1.228,-3.498,-3.911,-1.29,16.244,1281.27,17.641,2.060736714,304726044.3,3.56274539,494.7942622,-0.6379941,4.4200659,-0.417925,-0.2784313,2.10136,-0.2677378
6260,SLE,2010,Moderate,0,7.194,-22.703,-5.002,12.41,2.578,401.835,15.218,2.060736714,11614035.9,5.346466052,3978.086667,-0.7746728,3.78426,-0.2366454,-0.7360142,1.5663589,-0.1578491
6261,TZA,2010,Low,0,7.192,-7.458,-4.7,7.518,31.533,732.315,15.259,2.060736714,191204525.7,6.336523427,1395.625,-0.5352294,4.4025232,0.0144716,-0.4232683,2.0143881,-0.1308912
6262,TGO,2010,Moderate,0,0.212,-5.784,-2.3,-2.048,3.432,534.465,18.583,2.060736714,36453622,6.099259161,494.7942622,-0.9596605,3.610813,-0.1793484,-0.8803849,1.5777667,-0.9520397
6263,UGA,2010,Low,0,3.716,-6.522,-4.645,-12.216,24.683,808.713,10.779,2.060736714,63490401.6,5.637611638,2177.557507,-0.9175547,4.4749447,-1.000558,-0.1725371,2.1020354,-0.5183923
6264,ZMB,2010,Low,0,8.5,7.527,-2.432,20.145,20.265,1456.16,15.634,2.060736714,149816243,10.29822332,4.7975,-0.5060785,4.1491129,0.5153514,-0.4962905,2.0097547,-0.2430157
6265,BEN,2011,Low,0,2.736,-4.833,-0.981,-10.907,10.691,1130.08,13.746,1.137338319,50212087,2.963752919,471.2486257,-0.5935286,4.4541034,0.3183564,-0.3462625,1.8367028,0.1663906
6266,BFA,2011,High,1,2.769,-1.328,-2.039,23.932,12.078,751.041,18.397,1.137338319,67926257.3,6.622562613,471.2486257,-0.3678603,4.440954,-0.5553815,-0.179535,2.1410509,-0.2801855
6267,BDI,2011,High,1,9.583,-14.473,-3.491,5.532,2.236,247.097,38.696,1.137338319,10228445.8,4.032602496,1261.073333,-1.187131,3.936771,-1.8072,-1.012377,1.36137,-0.9276319
6268,CMR,2011,Low,0,2.94,-2.551,-2.355,12.847,29.37,1402.98,16.255,1.137338319,331808073.1,4.129277161,471.2486257,-1.145449,4.1099408,-0.661688,-0.8069494,1.425519,-1.033121
6269,CAF,2011,Moderate,0,1.194,-6.819,-2.135,4.305,2.435,551.028,12.023,1.137338319,1504811.4,4.194615337,471.2486257,-0.9467087,3.717634,-1.789389,-1.191609,1.209316,-1.087498
6270,TCD,2011,Moderate,0,2.029,-5.814,2.391,-3.052,12.183,985.629,24.759,1.137338319,82802184.1,0.082869798,471.2486257,-1.328819,3.629463,-1.318085,-1.025349,1.02577,-1.350032
6271,COM,2011,In debt distress,1,2.231,-3.613,0.861,-1.837,1.023,1450.16,14.078,1.137338319,3941055.9,4.099846955,353.4364693,-0.7906244,3.239495,-0.5527361,-1.361312,1.497056,-0.373952
6272,COD,2011,High,1,14.95,-4.956,-0.985,6.664,25.838,334.393,13,1.137338319,255389492.1,6.87467089,919.4913,-1.427513,3.320703,-2.212989,-1.521802,0.881854,-1.485156
6273,COG,2011,Low,0,1.761,13.175,16.065,-3.547,15.653,4175.34,43.938,1.137338319,136755458.6,2.205919363,471.2486257,-1.11917,3.804715,-0.3543004,-1.26487,1.296861,-1.107998
6274,CIV,2011,In debt distress,1,4.895,7.504,-2.889,2.175,35.529,1660.45,10.308,1.137338319,730991382.3,-4.387254789,471.2486257,-1.012901,3.844969,-1.405808,-0.8695123,1.230828,-1.081877
6275,ETH,2011,Low,0,33.232,-2.569,-1.607,0.895,30.48,361.829,16.621,1.137338319,343948921.2,11.17829623,16.89922576,-0.6579399,4.5158383,-1.506964,-0.9997987,1.7604423,-1.362644
6276,GMB,2011,High,1,4.796,-7.437,-3.014,2.744,1.41,762.761,13.53,1.137338319,27366588.5,-8.130444223,29.46152006,-0.5090407,4.3921748,-0.0002706,-0.2845533,1.9568458,-1.215479
6277,GHA,2011,Moderate,0,7.676,-6.609,-5.494,39.116,53.645,2123.67,14.106,1.137338319,352338101.2,14.04712363,1.520625,-0.0257114,4.9495462,0.1671121,0.1248741,2.4951211,0.4846578
6278,GIN,2011,In debt distress,1,21.351,-18.353,-0.936,7.772,6.034,540.562,15.106,1.137338319,200412257.8,5.612104279,6658.031258,-1.100235,3.876798,-1.388054,-1.00923,1.054877,-0.8877387
6279,GNB,2011,Moderate,0,5.055,-1.208,-1.354,40.971,1.157,775.206,15.96,1.137338319,6863262.1,8.084779734,471.2486257,-1.156242,3.971292,-0.753626,-1.123603,1.193623,-0.8534395
6280,LBR,2011,Low,0,8.487,-15.007,-4.32,11.696,2.398,640.709,25.04,1.137338319,3207472.9,8.20076584,72.22666667,-0.6711878,3.748981,-0.4273703,-1.091914,1.5726488,-0.2563505
6281,MDG,2011,Low,0,9.483,-6.714,-2.043,14.758,11.552,531.266,9.998,1.137338319,50329464.4,1.578429421,2025.1175,-0.4793393,3.967579,-0.7055859,-0.5281697,1.6119838,-0.879346
6282,MWI,2011,Moderate,0,7.621,-8.613,-4.124,-8.668,7.984,493.843,21.945,1.137338319,22744004.5,4.854055109,156.5158333,-0.4169382,4.5746081,-0.0729127,-0.7004287,2.3449478,-0.2454195
6283,MLI,2011,Moderate,0,3.051,-5.057,-3.417,6.624,12.993,861.874,17.145,1.137338319,68370144.4,3.21313378,471.2486257,-0.6385996,4.1777035,-0.7083797,-0.3982912,1.9989373,0.1678998
6284,MOZ,2011,Low,0,11.167,-23.146,-4.408,26.193,14.382,574.873,24.97,1.137338319,671996765.9,7.417384316,29.06759993,-0.4910766,4.3605884,0.3320483,-0.4318583,1.9331285,-0.1995206
6285,NER,2011,Moderate,0,2.93,-16.336,-2.189,-0.905,8.771,512.503,13.11,1.137338319,32825238.5,2.357756936,471.2486257,-0.6397219,4.377449,-0.8780045,-0.5308044,2.1097172,-0.2467294
6286,RWA,2011,Moderate,0,5.668,-7.027,-0.857,19.808,6.911,677.595,23.736,1.137338319,46473003.2,7.958406046,600.3065198,0.3575973,5.0704055,-0.1771178,-0.1439268,2.1860262,-1.328789
6287,STP,2011,High,1,14.321,-27.947,-12.518,0.367,0.233,1302.78,39.682,1.137338319,1665757,4.398201685,17.62293501,-0.1792379,4.2979318,0.0078264,-0.7282254,1.8386424,0.2481136
6288,SEN,2011,Low,0,3.404,-6.472,-4.9,12.885,17.899,1373.28,18.237,1.137338319,361363301.7,1.458388671,471.2486257,-0.4963229,4.5036255,-0.2806022,-0.2141801,2.0410984,-0.220193
6289,SLE,2011,Moderate,0,6.788,-65.031,-4.541,25.931,2.942,448.324,16.963,1.137338319,18666727.3,6.315045036,4349.161667,-0.8429905,3.807842,-0.1684449,-0.7085726,1.6458691,-0.2038126
6290,TZA,2011,Low,0,12.691,-10.992,-3.514,6.685,34.067,768.16,15.36,1.137338319,142743194.8,7.672155435,1557.433333,-0.5917395,4.3483859,-0.0241335,-0.4188805,1.9885063,-0.1414839
6291,TGO,2011,Moderate,0,3.558,-7.805,-6.266,16.556,3.872,586.994,19.227,1.137338319,15181725.6,6.398199052,471.2486257,-1.009964,3.6334,-0.1625985,-0.9978567,1.621849,-0.9037215
6292,UGA,2011,Low,0,15.009,-7.59,-2.043,-8.347,27.501,872.039,11.132,1.137338319,63627429,9.391655493,2522.802033,-0.9205488,4.4844189,-0.9761018,-0.1569812,2.1393246,-0.5254045
6293,ZMB,2011,Low,0,8.658,4.658,-1.783,1.793,23.46,1635.51,17.744,1.137338319,220136301.3,5.564602337,4.861666667,-0.3963221,4.3405597,0.5097738,-0.4388662,2.0435683,-0.1704208
6294,BEN,2012,Low,0,6.743,-5.178,-0.216,17.661,11.148,1145.88,14.02,1.307083111,58800641.8,4.811223316,510.5563385,-0.8565331,4.4847127,0.3643676,-0.3786036,1.9143274,0.1244855
6295,BFA,2012,Moderate,0,3.817,-1.292,-2.763,9.927,12.569,758.481,19.905,1.307083111,71778388.1,6.45267238,510.5563385,-0.4788863,4.376011,-0.5731292,-0.1188603,2.0632026,-0.3049708
6296,BDI,2012,High,1,18.176,-18.592,-3.794,2.205,2.333,250.118,33.75,1.307083111,20996336.5,4.446708222,1442.505625,-1.452943,3.679897,-1.704738,-0.9454027,1.416469,-0.8945184
6297,CMR,2012,Low,0,2.382,-3.283,-1.446,-4.366,29.121,1357.15,16.326,1.307083111,237340165.2,4.543265016,510.5563385,-1.261325,4.1019939,-0.5885174,-0.9286842,1.458482,-1.021581
6298,CAF,2012,Moderate,0,5.478,-5.585,0.353,7.543,2.512,566.199,14.85,1.307083111,4640045.4,5.053761254,510.5563385,-0.9927816,3.551471,-1.852923,-1.077462,1.056629,-1.241135
6299,TCD,2012,Moderate,0,7.517,-7.803,0.473,-8.086,12.411,970.738,24.352,1.307083111,83445179,8.882576072,510.5563385,-1.313718,3.511234,-1.044117,-1.072346,1.033934,-1.342748
6300,COM,2012,High,1,5.91,-3.246,1.962,-10.382,1.016,1403.42,16.822,1.307083111,12314523.3,3.200272903,382.9172538,-0.7833758,3.449139,-0.452308,-1.391064,1.484231,-0.4661489
6301,COD,2012,High,1,0.857,-4.299,1.75,-11.986,29.319,368.393,15.486,1.307083111,279054336.7,7.086898947,919.7550167,-1.312269,3.345065,-2.085893,-1.489312,0.843,-1.481082
6302,COG,2012,Low,0,5.009,13.644,7.236,-11.254,17.704,4607.39,37.893,1.307083111,170696943.9,9.947153143,510.5563385,-1.211273,3.826054,-0.4896899,-1.359338,1.356987,-1.155133
6303,CIV,2012,Moderate,0,1.3,-0.866,-2.277,7.125,37.03,1686.73,13.865,1.307083111,720269252.2,10.7065041,510.5563385,-0.8303831,3.901586,-1.263461,-0.764886,1.420741,-0.77775
6304,ETH,2012,Low,0,24.132,-7.071,-1.172,-12.55,42.221,493.321,15.476,1.307083111,428443212.8,8.647811633,17.70476138,-0.6025902,4.5747305,-1.564271,-1.047956,1.8225152,-1.308908
6305,GMB,2012,High,1,4.645,-4.478,-2.823,15.884,1.415,742.78,16.296,1.307083111,26402039.4,5.241569246,32.07713389,-0.644619,4.4875705,-0.0007788,-0.2281193,1.9234857,-1.287478
6306,GHA,2012,Moderate,0,7.072,-8.696,-8.38,5.787,56.505,2184.41,13.733,1.307083111,504198793.9,9.292789405,1.824866667,-0.1265676,4.9514673,0.130695,0.1281278,2.510495,0.4313522
6307,GIN,2012,Moderate,0,15.227,-19.933,-2.51,-9.371,7.304,637.791,17.531,1.307083111,176968363.1,5.916911732,6985.829026,-1.041696,3.731259,-1.287012,-1.020365,1.092416,-1.013889
6308,GNB,2012,Moderate,0,2.061,-7.925,-2.123,-13.336,1.05,688.497,10.851,1.307083111,7293678.2,-1.712683012,510.5563385,-1.278939,3.769602,-0.9652959,-1.226237,0.977222,-1.325706
6309,LBR,2012,Low,0,6.832,-12.308,-2.811,45.572,2.721,707.709,27.438,1.307083111,4607303,7.993815693,73.51477208,-0.5984923,3.826272,-0.4844765,-1.050237,1.6125953,-0.3066162
6310,MDG,2012,Low,0,5.714,-7.582,-2.237,6.775,11.579,518.155,9.278,1.307083111,72328620.1,3.011146408,2194.966667,-0.6651397,3.910904,-0.536137,-0.5632995,1.5938759,-0.8832707
6311,MWI,2012,Moderate,0,21.296,-9.203,-1.768,5.021,5.981,359.588,27.147,1.307083111,28463631.4,1.885799507,249.1066667,-0.4716163,4.5213941,-0.0026862,-0.7030605,2.2812808,-0.2060844
6312,MLI,2012,Moderate,0,5.32,-2.193,-0.956,9.013,12.45,801.102,14.575,1.307083111,60273395.2,-0.836734632,510.5563385,-0.8253763,4.0032047,-2.034329,-0.4108,1.8288089,-0.4955301
6313,MOZ,2012,Low,0,2.602,-41.766,-3.616,40.418,16.257,631.76,25.174,1.307083111,477320370.3,7.258439253,28.37298448,-0.568353,4.369913,0.3904937,-0.4481838,1.9139011,-0.1976613
6314,NER,2012,Moderate,0,0.465,-10.831,-0.828,18.935,9.433,530.077,15.777,1.307083111,41223975.4,10.54894458,510.5563385,-0.6417262,4.3173367,-1.148131,-0.5946409,1.8523369,-0.2846276
6315,RWA,2012,Moderate,0,6.286,-9.537,-2.371,21.247,7.687,732.078,22.097,1.307083111,85309003.2,8.641500169,614.2951424,0.5579525,4.9517461,-0.2306152,-0.0998168,2.2283405,-1.277657
6316,STP,2012,High,1,10.638,-21.847,-11.215,-10.194,0.253,1380.11,34.992,1.307083111,11354349.1,3.141975852,19.06841681,-0.1782128,4.3210525,0.0133354,-0.7845786,1.7521849,0.1801338
6317,SEN,2012,Low,0,1.417,-8.678,-4.146,2.572,17.836,1330.82,18.615,1.307083111,323231723.8,5.117394237,510.5563385,-0.2566233,4.5338366,-0.108322,-0.0812536,2.2131889,-0.0041891
6318,SLE,2012,Moderate,0,6.588,-31.833,-5.158,114.993,3.802,566.37,15.175,1.307083111,20728475.7,15.18176908,4344.036667,-0.9511303,3.7743,-0.2799453,-0.7031516,1.6464322,-0.3206525
6319,TZA,2012,Low,0,16.001,-11.96,-4.06,2.991,39.651,867.857,15.442,1.307083111,160447796.9,4.50015356,1571.698333,-0.7569411,4.3085811,0.0514543,-0.3926336,1.9706259,-0.1760137
6320,TGO,2012,Moderate,0,2.639,-7.593,-6.478,5.415,3.876,572.169,20.214,1.307083111,23273075.6,6.543507031,510.5563385,-1.000225,3.685867,-0.3864578,-0.8441291,1.5719821,-0.9958094
6321,UGA,2012,Low,0,12.679,-5.351,-2.385,18.454,30.939,950.56,10.732,1.307083111,68044859.9,3.837455606,2504.563078,-0.9884557,4.4299816,-0.8689665,-0.2389865,2.151838,-0.4935461
6322,ZMB,2012,Low,0,6.575,4.893,-2.832,27.935,25.503,1724.71,18.694,1.307083111,230504449.9,7.597593211,5.1475,-0.2842946,4.5238202,0.6609625,-0.4266993,2.134804,-0.1328266
6323,BEN,2013,Low,0,0.969,-5.379,-1.365,19.728,12.518,1251.25,13.529,1.46929925,84342953.7,7.191433721,493.8996239,-0.7441061,4.5105597,0.3011894,-0.4007843,1.9313328,0.1554964
6324,BFA,2013,Moderate,0,0.525,-10.008,-3.548,1.879,13.444,787.482,21.713,1.46929925,79630955.7,5.792584845,493.8996239,-0.5230929,4.3391581,-0.7633901,-0.1749993,1.9695501,-0.255426
6325,BDI,2013,High,1,7.938,-19.66,-1.811,37.327,2.575,267.696,31.351,1.46929925,32336040.6,4.924195261,1555.090833,-1.409685,3.935043,-1.350278,-0.8779285,1.430001,-0.9530513
6326,CMR,2013,Low,0,2.05,-3.486,-3.705,14.544,32.358,1471.21,16.317,1.46929925,274182091.9,5.40426571,493.8996239,-1.205251,4.081248,-0.5322373,-0.9374695,1.449047,-1.036896
6327,CAF,2013,Moderate,0,6.989,-2.935,-5.935,-21.323,1.692,380.304,7.464,1.46929925,6699903.1,-36.3919771,493.8996239,-1.090757,3.390117,-2.154897,-1.172318,0.706919,-1.474687
6328,TCD,2013,High,1,0.223,-9.146,-2.065,-12.929,12.994,982.92,20.74,1.46929925,120086251.9,5.700001363,493.8996239,-1.351272,3.611169,-1.089472,-0.9917988,1.117512,-1.374709
6329,COM,2013,High,1,0.416,-4.044,10.489,20.061,1.116,1500.73,25.315,1.46929925,591155.6,4.499874215,370.4247179,-0.73996,3.410633,-0.2569292,-1.201662,1.5631963,-0.460561
6330,COD,2013,High,1,0.876,-9.514,1.874,40.541,32.676,398.627,14.624,1.46929925,400977709.6,8.481956636,919.5659074,-1.318193,3.52229,-2.192191,-1.233635,0.926564,-1.458554
6331,COG,2013,Low,0,4.631,10.77,-2.849,-8.278,17.959,4559.73,39.542,1.46929925,440835891.3,-0.712434452,493.8996239,-1.153927,3.844076,-0.4750501,-1.333404,1.38717,-1.11778
6332,CIV,2013,Moderate,0,2.584,-0.978,-1.621,3.567,43.228,1919.16,14.236,1.46929925,1053535210,8.889421302,493.8996239,-0.7355494,4.0742124,-1.048724,-0.7363843,1.5949556,-0.7511911
6333,ETH,2013,Low,0,8.071,-6.059,-1.931,15.6,46.544,535.264,15.825,1.46929925,655513176.2,10.58227005,18.62662896,-0.4949463,4.3930029,-1.407307,-1.118452,1.8525864,-1.313026
6334,GMB,2013,Moderate,0,5.241,-6.738,-5.559,-8.263,1.376,700.515,12.114,1.46929925,29565308.3,2.87276879,35.95758683,-0.6964284,4.2946211,-0.0486364,-0.3614394,1.8570079,-1.257354
6335,GHA,2013,Moderate,0,11.666,-9.014,-9.178,9.594,63.279,2389.77,12.531,1.46929925,709058946.4,7.312525007,1.98135,-0.0966235,4.9016263,0.0606061,0.0846051,2.6491421,0.4388546
6336,GIN,2013,Moderate,0,11.887,-12.517,-3.874,-11.421,8.374,712.982,14.765,1.46929925,90770975,3.934784025,6907.87807,-1.04008,3.82632,-1.229852,-1.001378,1.124599,-1.022311
6337,GNB,2013,Moderate,0,0.779,-4.345,-1.673,5.143,1.11,711.927,10.743,1.46929925,2026939.9,3.255904265,493.8996239,-1.325588,3.56689,-0.8999276,-1.261222,0.914446,-1.343437
6338,LBR,2013,Low,0,7.578,-14.669,-5.96,-4.799,3.065,777.48,27.091,1.46929925,6427062,8.704028066,77.52,-0.7105706,3.615234,-0.4755071,-0.9119042,1.6209654,-0.3873227
6339,MDG,2013,Low,0,5.826,-5.534,-3.403,-7.606,12.424,541.069,9.299,1.46929925,73642867.1,2.300386934,2206.914167,-0.7539618,3.868886,-0.6599934,-0.6486014,1.5871723,-0.7633572
6340,MWI,2013,Moderate,0,28.279,-8.358,-6.427,22.393,5.432,317.471,28.276,1.46929925,44069161.8,5.199999998,364.4058333,-0.6073956,4.5200847,-0.2058098,-0.6850817,2.3377215,-0.178754
6341,MLI,2013,Moderate,0,-2.383,-2.887,-2.372,10.267,13.243,827.335,17.387,1.46929925,105431259.9,2.29506829,493.8996239,-0.7861145,4.0971314,-1.722162,-0.4960637,1.7508805,-0.284508
6342,MOZ,2013,Moderate,0,4.261,-40.521,-2.589,8.552,16.968,641.085,29.634,1.46929925,525780552.5,6.963607135,30.10411109,-0.6035165,4.3867307,-0.2269665,-0.4026927,1.6844116,-0.2563153
6343,NER,2013,Moderate,0,2.285,-11.253,-1.929,8.935,10.225,552.575,18.482,1.46929925,74249135.4,5.315130636,493.8996239,-0.6110697,4.2790717,-1.321799,-0.5633752,1.8403966,-0.3062896
6344,RWA,2013,Low,0,4.223,-7.09,-1.264,9.616,7.852,733.789,24.787,1.46929925,109303459.9,4.719854196,646.6359745,0.6279649,5.0197235,-0.1109516,0.0066703,2.3452758,-1.211103
6345,STP,2013,High,1,8.106,-14.53,1.896,0.096,0.303,1619.71,33.446,1.46929925,5965520.8,4.814794386,18.44995262,-0.1755021,4.2741968,0.1118407,-0.7929333,1.731847,0.1350571
6346,SEN,2013,Low,0,0.71,-8.244,-4.325,11.727,18.966,1376.09,17.711,1.46929925,399468576.7,2.82210565,493.8996239,-0.1868612,4.581484,-0.0607228,-0.047789,2.2611513,0.0600574
6347,SLE,2013,Moderate,0,5.518,-17.329,-2.39,51.835,4.916,716.148,13.264,1.46929925,27376909.8,20.71576829,4332.500833,-0.9058447,3.774553,-0.1747183,-0.7071913,1.6409666,-0.3425916
6348,TZA,2013,Low,0,7.87,-10.701,-3.81,1.767,45.681,970.348,15.033,1.46929925,237055219.4,6.781585601,1597.555833,-0.7741532,4.2902299,-0.1621208,-0.3290884,2.0270358,-0.2037866
6349,TGO,2013,Moderate,0,1.763,-13.153,-5.199,14.122,4.322,621.408,21.462,1.46929925,53144418.7,6.112343078,493.8996239,-1.026878,3.705041,-0.3537108,-0.9222642,1.5265055,-0.9044718
6350,UGA,2013,Low,0,4.905,-5.701,-3.19,4.809,32.331,964.833,10.112,1.46929925,87613922.9,3.586905826,2586.889569,-1.042657,4.4140575,-0.8386906,-0.2439245,2.158718,-0.5519767
6351,ZMB,2013,Low,0,6.978,-0.779,-6.208,22.868,28.046,1839.54,17.629,1.46929925,319221356.7,5.05723174,5.396483333,-0.3067903,4.5074817,0.4359333,-0.4740081,2.2324383,-0.1060421
6352,BEN,2014,Low,0,-1.083,-6.67,-1.651,1.279,13.288,1291.76,12.574,1.374742175,79883809.3,6.357679098,493.7573299,-0.6660711,4.5431819,0.0271398,-0.5859138,2.0119776,0.2663023
6353,BFA,2014,Moderate,0,-0.258,-7.165,-1.737,10.018,13.947,793.051,19.19,1.374742175,93527597.3,4.326845615,493.7573299,-0.4648376,4.4211704,-0.7871286,-0.3089368,1.9527472,-0.3518519
6354,BDI,2014,High,1,4.417,-19.456,-3.747,-12.903,2.837,286.373,23.395,1.374742175,30246927,4.240651644,1546.686667,-1.258653,3.870853,-0.7844071,-0.7070148,1.5339797,-1.041284
6355,CMR,2014,Moderate,0,1.853,-4.006,-4.251,15.206,34.999,1552.47,16.612,1.374742175,530678084.1,5.884059327,493.7573299,-1.164004,4.2089658,-1.059252,-0.8845948,1.6035517,-0.9443417
6356,CAF,2014,High,1,14.899,-13.335,-3.935,19.639,1.896,424.67,14.081,1.374742175,12050715.1,0.081070515,493.7573299,-1.160163,3.151667,-2.699193,-1.393427,0.804303,-1.391623
6357,TCD,2014,High,1,1.682,-8.93,-4.182,5.947,14.003,1024.84,17.796,1.374742175,589336214.2,6.899985045,493.7573299,-1.31569,3.504073,-1.568883,-1.158972,1.361351,-1.331053
6358,COM,2014,Moderate,0,-0.008,-3.783,-0.331,24.162,1.15,1505.18,14.2,1.374742175,782360.6,2.100006438,370.3179974,-0.6122024,3.32596,-0.1869102,-1.104208,1.6083003,-0.2917461
6359,COD,2014,Moderate,0,1.24,-4.797,-0.017,8.634,35.911,425.329,18.473,1.374742175,410787291.8,9.470288097,925.2262825,-1.300999,3.43862,-2.167921,-1.362629,1.048952,-1.286678
